country,iso3,region,sub_region,population_2020,year,parent_location,obesity_low,obesity,obesity_high,overweight_low,overweight,overweight_high,underweight_low,underweight,underweight_high
Swaziland,SWZ,Africa,Sub-Saharan Africa,1160164,2016,Africa,10,13.5,17.5,28.4,33,37.8,4.8,8.1,12.2
Seychelles,SYC,Africa,Sub-Saharan Africa,98462,2016,Africa,11,14.6,18.6,33,38.1,43.4,3.5,6.1,9.6
Syria,SYR,Asia,Western Asia,17500657,2016,Eastern Mediterranean,20.7,25.8,31.3,53,57.9,62.8,1.5,2.9,5
Chad,TCD,Africa,Sub-Saharan Africa,16425859,2016,Africa,3.3,4.8,6.8,16,19.5,23.4,9.2,13.7,19.1
Togo,TGO,Africa,Sub-Saharan Africa,8278737,2016,Africa,4.9,7.1,9.7,21.1,25,29.1,6.3,9.9,14.5
Thailand,THA,Asia,South-eastern Asia,69799978,2016,South-East Asia,8,10.8,14,30.2,34.7,39.4,5.3,8.3,12
Tajikistan,TJK,Asia,Central Asia,9537642,2016,Europe,9.2,12.6,16.6,36.5,41.7,47.2,2.4,4.3,6.9
Turkmenistan,TKM,Asia,Central Asia,6031187,2016,Europe,13.3,17.5,22.3,44.4,49.6,54.7,1.6,3.1,5.3
Timor-Leste,TLS,Asia,South-eastern Asia,1318442,2016,South-East Asia,1.9,2.9,4.4,14.6,17.9,21.4,12.1,16.9,22.2
Tonga,TON,Oceania,Polynesia,105697,2016,Western Pacific,39.7,45.9,51.9,71.2,75.6,79.7,0.1,0.4,0.7
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,1399491,2016,Americas,14.5,19.7,25.7,41.6,48.1,54.7,1.6,3.5,6.6
Tunisia,TUN,Africa,Northern Africa,11818618,2016,Eastern Mediterranean,22.4,27.3,32.1,57.7,62.2,66.6,1.7,3.1,5
Turkey,TUR,Asia,Western Asia,84339067,2016,Europe,28.4,32.2,36.1,63.4,66.9,70.4,0.9,1.4,2.1
Taiwan,TWN,Asia,Eastern Asia,23816775,999,Western Pacific,999,999,999,999,999,999,999,999,999
Tanzania,TZA,Africa,Sub-Saharan Africa,59734213,2016,Africa,5.3,7.1,9.4,20.9,24.5,28.3,7.8,11.3,15.2
Uganda,UGA,Africa,Sub-Saharan Africa,45741000,2016,Africa,2.8,4.1,5.8,15.6,19,22.5,7.9,11.4,15.4
Ukraine,UKR,Europe,Eastern Europe,44134693,2016,Europe,20.2,26.1,32.3,56.4,61.9,67.4,0.4,1.2,2.8
Uruguay,URY,Americas,Latin America and the Caribbean,3473727,2016,Americas,23.7,28.9,34.4,59.8,64.5,69.2,0.5,1,1.8
United States,USA,Americas,Northern America,329484123,2016,Americas,33.4,37.3,41.3,66.8,70.2,73.3,0.7,1.1,1.7
Uzbekistan,UZB,Asia,Central Asia,34232050,2016,Europe,11.5,15.3,19.8,40.5,45.7,51,1.9,3.4,5.7
Saint Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean,110947,2016,Americas,18.4,23.8,29.8,49.5,55,60.5,1.6,3.6,6.6
Venezuela,VEN,Americas,Latin America and the Caribbean,28435943,2016,Americas,20.9,25.2,29.8,58.4,62.6,66.9,0.8,1.5,2.4
Vietnam,VNM,Asia,South-eastern Asia,97338583,2016,Western Pacific,1.4,2.1,3.1,14.7,18.3,21.7,13.4,17.5,21.7
Vanuatu,VUT,Oceania,Melanesia,307150,2016,Western Pacific,18.2,23.5,29.1,48,54.1,60.1,1.1,2.2,3.7
Samoa,WSM,Oceania,Polynesia,198410,2016,Western Pacific,39.8,45.5,51.5,70.8,75.1,79.3,0.1,0.4,0.7
Yemen,YEM,Asia,Western Asia,29825968,2016,Eastern Mediterranean,10.8,14.1,17.8,37.5,42.3,47.3,5,7.7,11
South Africa,ZAF,Africa,Sub-Saharan Africa,59308690,2016,Africa,23.4,27,30.8,47.9,51.9,56,3.4,4.8,6.6
Zambia,ZMB,Africa,Sub-Saharan Africa,18383956,2016,Africa,4.6,6.5,8.8,20.2,23.9,27.9,7.5,11.5,16.2
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,14862927,2016,Africa,9.4,12.3,15.6,28.2,32.4,36.8,5.6,8.6,12
